Source_Disease,Target_Disease
C0000786,C0033578
C0000786,C0024121
C0000786,C1458155
C0000786,C0026769
C0000786,C0031117
C0000786,C0027626
C0000786,C0027627
C0000786,C0003873
C0000786,C0009375
C0000786,C0002395
C0000786,C0017661
C0000786,C0024667
C0000786,C0024668
C0000786,C0004352
C0000786,C0014175
C0000786,C0038356
C0000786,C0919267
C0001418,C0033578
C0001418,C0024121
C0001418,C1458155
C0001418,C0007134
C0001418,C0032460
C0001418,C0024667
C0001418,C0024668
C0001418,C0009375
C0001418,C0038356
C0002395,C0003873
C0002395,C0000786
C0002395,C0009375
C0002395,C0017661
C0002395,C0027626
C0002395,C0027627
C0002395,C0025202
C0003873,C0031117
C0003873,C0023467
C0003873,C0011860
C0003873,C0014175
C0003873,C0027627
C0003873,C0024121
C0003873,C0004096
C0003873,C0038356
C0003873,C0000786
C0003873,C0009375
C0003873,C0002395
C0003873,C0017661
C0003873,C3495559
C0003873,C0007621
C0003873,C0009404
C0003873,C0005695
C0003873,C0860207
C0004096,C0033578
C0004096,C0020538
C0004096,C0017661
C0004096,C0003873
C0004096,C0027627
C0004096,C0024121
C0004096,C0038356
C0004096,C0004352
C0004096,C0031117
C0004096,C0236969
C0004096,C0014175
C0004352,C0036341
C0004352,C0031117
C0004352,C0236736
C0004352,C0023893
C0004352,C0033578
C0004352,C0151744
C0004352,C0023903
C0004352,C0014175
C0004352,C0007621
C0004352,C0236969
C0004352,C0009404
C0004352,C1458155
C0004352,C0026769
C0004352,C3714756
C0004352,C0024667
C0004352,C0024668
C0004352,C0000786
C0004352,C0004096
C0004352,C0038356
C0004352,C0010606
C0004352,C0023467
C0004352,C0376634
C0005695,C0023467
C0005695,C0007131
C0005695,C0007621
C0005695,C0027626
C0005695,C1458155
C0005695,C0003873
C0005695,C0009404
C0005695,C0860207
C0005695,C2239176
C0005695,C0242656
C0005695,C0919267
C0007131,C0033578
C0007131,C1458155
C0007131,C0025202
C0007131,C0032460
C0007131,C0014175
C0007131,C0007621
C0007131,C0005695
C0007131,C0023467
C0007131,C0010606
C0007131,C0011853
C0007131,C0028754
C0007131,C0151744
C0007131,C0024121
C0007131,C0038356
C0007131,C0023903
C0007131,C0027626
C0007131,C0031117
C0007131,C0027627
C0007131,C2239176
C0007131,C0242656
C0007131,C0009375
C0007131,C0007134
C0007134,C0033578
C0007134,C0001418
C0007134,C0024121
C0007134,C1458155
C0007134,C0027626
C0007134,C0242656
C0007134,C0038356
C0007134,C0024667
C0007134,C0024668
C0007134,C0151744
C0007134,C0009404
C0007134,C0021390
C0007134,C0007131
C0007621,C0032460
C0007621,C0007131
C0007621,C0014175
C0007621,C2239176
C0007621,C0005695
C0007621,C0023467
C0007621,C0033578
C0007621,C1458155
C0007621,C0025202
C0007621,C0004352
C0007621,C0023903
C0007621,C0024121
C0007621,C0010606
C0007621,C0024667
C0007621,C0024668
C0007621,C0242656
C0007621,C0027626
C0007621,C0003873
C0007621,C3495559
C0007621,C0027627
C0009375,C2239176
C0009375,C0038356
C0009375,C0030567
C0009375,C0003873
C0009375,C0000786
C0009375,C0002395
C0009375,C0017661
C0009375,C0009404
C0009375,C0027627
C0009375,C1458155
C0009375,C0024667
C0009375,C0024668
C0009375,C0001418
C0009375,C0027626
C0009375,C0007131
C0009404,C1458155
C0009404,C0017661
C0009404,C0030567
C0009404,C0036341
C0009404,C0011860
C0009404,C3714756
C0009404,C0236969
C0009404,C0004352
C0009404,C0027627
C0009404,C0009375
C0009404,C2239176
C0009404,C0027626
C0009404,C0025202
C0009404,C0032460
C0009404,C0007134
C0009404,C0021390
C0009404,C0033578
C0009404,C0151744
C0009404,C0003873
C0009404,C0005695
C0009404,C0860207
C0010606,C0007131
C0010606,C0011853
C0010606,C0028754
C0010606,C0376634
C0010606,C3714756
C0010606,C0030567
C0010606,C0024667
C0010606,C0024668
C0010606,C0020538
C0010606,C0007621
C0010606,C0004352
C0010606,C0023467
C0011853,C0024667
C0011853,C0024668
C0011853,C0028754
C0011853,C0017661
C0011853,C0010606
C0011853,C0007131
C0011853,C0151744
C0011853,C0011860
C0011853,C0025202
C0011853,C0860207
C0011853,C0030567
C0011853,C0023893
C0011853,C2239176
C0011853,C1458155
C0011860,C0003873
C0011860,C0031117
C0011860,C0023467
C0011860,C0014175
C0011860,C0009404
C0011860,C0036341
C0011860,C3714756
C0011860,C0024668
C0011860,C0151744
C0011860,C0011853
C0011860,C0024667
C0011860,C2239176
C0011860,C1458155
C0014175,C0003873
C0014175,C0031117
C0014175,C0023467
C0014175,C0011860
C0014175,C0032460
C0014175,C0007131
C0014175,C0007621
C0014175,C2239176
C0014175,C0004352
C0014175,C0023903
C0014175,C0024667
C0014175,C0024668
C0014175,C0000786
C0014175,C0023893
C0014175,C0033578
C0014175,C0038356
C0014175,C0027627
C0014175,C1458155
C0014175,C0236969
C0014175,C0024121
C0014175,C0004096
C0017661,C0033578
C0017661,C0020538
C0017661,C0004096
C0017661,C0009404
C0017661,C1458155
C0017661,C0030567
C0017661,C0027627
C0017661,C0023467
C0017661,C0024667
C0017661,C0024668
C0017661,C0011853
C0017661,C0028754
C0017661,C0031117
C0017661,C0032460
C0017661,C0003873
C0017661,C0000786
C0017661,C0009375
C0017661,C0002395
C0017661,C2239176
C0019693,C0024667
C0019693,C0024668
C0019693,C0023903
C0020538,C0033578
C0020538,C0004096
C0020538,C0017661
C0020538,C0010606
C0020538,C0024667
C0020538,C0024668
C0020538,C1458155
C0020538,C0023467
C0020538,C0038356
C0021390,C0033578
C0021390,C0376634
C0021390,C1458155
C0021390,C0038356
C0021390,C0009404
C0021390,C0007134
C0023467,C0003873
C0023467,C0031117
C0023467,C0011860
C0023467,C0014175
C0023467,C0027627
C0023467,C1458155
C0023467,C0017661
C0023467,C0033578
C0023467,C0376634
C0023467,C0005695
C0023467,C0007131
C0023467,C0007621
C0023467,C0020538
C0023467,C0038356
C0023467,C0010606
C0023467,C0004352
C0023467,C3714756
C0023893,C0033578
C0023893,C0004352
C0023893,C0151744
C0023893,C0031117
C0023893,C2239176
C0023893,C0011853
C0023893,C0028754
C0023893,C0038356
C0023893,C0014175
C0023903,C0004352
C0023903,C0014175
C0023903,C0007621
C0023903,C1458155
C0023903,C0007131
C0023903,C0019693
C0023903,C0024667
C0023903,C0024668
C0023903,C2239176
C0024121,C0031117
C0024121,C0236736
C0024121,C0028754
C0024121,C0033578
C0024121,C0000786
C0024121,C1458155
C0024121,C0026769
C0024121,C0001418
C0024121,C0007134
C0024121,C2239176
C0024121,C0007621
C0024121,C0151744
C0024121,C0007131
C0024121,C0038356
C0024121,C0003873
C0024121,C0027627
C0024121,C0004096
C0024121,C0032460
C0024121,C0024668
C0024121,C0236969
C0024121,C0014175
C0024667,C0024668
C0024667,C0011853
C0024667,C0028754
C0024667,C0017661
C0024667,C0027626
C0024667,C0038356
C0024667,C0010606
C0024667,C0020538
C0024667,C0007621
C0024667,C0033578
C0024667,C1458155
C0024667,C0919267
C0024667,C0151744
C0024667,C0007134
C0024667,C2239176
C0024667,C0004352
C0024667,C0000786
C0024667,C0014175
C0024667,C0019693
C0024667,C0023903
C0024667,C0860207
C0024667,C0011860
C0024667,C0001418
C0024667,C0009375
C0024667,C0031117
C0024667,C0376634
C0024668,C0024667
C0024668,C0011853
C0024668,C0028754
C0024668,C0017661
C0024668,C0151744
C0024668,C0011860
C0024668,C0027626
C0024668,C0038356
C0024668,C0010606
C0024668,C0020538
C0024668,C0007621
C0024668,C0033578
C0024668,C1458155
C0024668,C0919267
C0024668,C0007134
C0024668,C2239176
C0024668,C0004352
C0024668,C0000786
C0024668,C0014175
C0024668,C0019693
C0024668,C0023903
C0024668,C0860207
C0024668,C0001418
C0024668,C0009375
C0024668,C0031117
C0024668,C0376634
C0024668,C0024121
C0024668,C0027627
C0025202,C0033578
C0025202,C0027626
C0025202,C1458155
C0025202,C0007131
C0025202,C0027627
C0025202,C0007621
C0025202,C0011853
C0025202,C0860207
C0025202,C0030567
C0025202,C0009404
C0025202,C2239176
C0025202,C0002395
C0026769,C0031117
C0026769,C0000786
C0026769,C0024121
C0026769,C0004352
C0026769,C0036341
C0026769,C3714756
C0027626,C0033578
C0027626,C1458155
C0027626,C0025202
C0027626,C0027627
C0027626,C0151744
C0027626,C0024667
C0027626,C0024668
C0027626,C0038356
C0027626,C0000786
C0027626,C0007134
C0027626,C0242656
C0027626,C0007621
C0027626,C0005695
C0027626,C0007131
C0027626,C0031117
C0027626,C2239176
C0027626,C0009404
C0027626,C0028754
C0027626,C0009375
C0027626,C0002395
C0027627,C0151744
C0027627,C0242656
C0027627,C0038356
C0027627,C1458155
C0027627,C0023467
C0027627,C0017661
C0027627,C0027626
C0027627,C0025202
C0027627,C0033578
C0027627,C0000786
C0027627,C0003873
C0027627,C0024121
C0027627,C0004096
C0027627,C0031117
C0027627,C0009404
C0027627,C0009375
C0027627,C0007131
C0027627,C0028754
C0027627,C3495559
C0027627,C0007621
C0027627,C0024668
C0027627,C0014175
C0027627,C0002395
C0028754,C0031117
C0028754,C0236736
C0028754,C0024121
C0028754,C0024667
C0028754,C0024668
C0028754,C0011853
C0028754,C0017661
C0028754,C0010606
C0028754,C0007131
C0028754,C0023893
C0028754,C2239176
C0028754,C0027626
C0028754,C0027627
C0028754,C0038356
C0030567,C0009404
C0030567,C1458155
C0030567,C0017661
C0030567,C2239176
C0030567,C0009375
C0030567,C0038356
C0030567,C0010606
C0030567,C0376634
C0030567,C3714756
C0030567,C0025202
C0030567,C0011853
C0030567,C0860207
C0031117,C0003873
C0031117,C0023467
C0031117,C0011860
C0031117,C0014175
C0031117,C0236736
C0031117,C0024121
C0031117,C0028754
C0031117,C0026769
C0031117,C0000786
C0031117,C0004352
C0031117,C0036341
C0031117,C0023893
C0031117,C0033578
C0031117,C0151744
C0031117,C0032460
C0031117,C1458155
C0031117,C0017661
C0031117,C0027626
C0031117,C0027627
C0031117,C0007131
C0031117,C0038356
C0031117,C0004096
C0031117,C2239176
C0031117,C0242656
C0031117,C0024667
C0031117,C0024668
C0031117,C0376634
C0032460,C0007131
C0032460,C0014175
C0032460,C0007621
C0032460,C2239176
C0032460,C0031117
C0032460,C1458155
C0032460,C0017661
C0032460,C0033578
C0032460,C0001418
C0032460,C0024121
C0032460,C0009404
C0033578,C0020538
C0033578,C0004096
C0033578,C0017661
C0033578,C0027626
C0033578,C1458155
C0033578,C0025202
C0033578,C0000786
C0033578,C0024121
C0033578,C0007131
C0033578,C0376634
C0033578,C0038356
C0033578,C0021390
C0033578,C0023467
C0033578,C0007621
C0033578,C0023893
C0033578,C0004352
C0033578,C0151744
C0033578,C0031117
C0033578,C0001418
C0033578,C0007134
C0033578,C0027627
C0033578,C0024667
C0033578,C0024668
C0033578,C0919267
C0033578,C0242656
C0033578,C0032460
C0033578,C0014175
C0033578,C0009404
C0036341,C0004352
C0036341,C0031117
C0036341,C0236736
C0036341,C0009404
C0036341,C0011860
C0036341,C3714756
C0036341,C0026769
C0036341,C0376634
C0038356,C0151744
C0038356,C0242656
C0038356,C0027627
C0038356,C0033578
C0038356,C0376634
C0038356,C1458155
C0038356,C0021390
C0038356,C2239176
C0038356,C0009375
C0038356,C0030567
C0038356,C0024667
C0038356,C0024668
C0038356,C0027626
C0038356,C0024121
C0038356,C0007131
C0038356,C0007134
C0038356,C0003873
C0038356,C0004096
C0038356,C0031117
C0038356,C0000786
C0038356,C0919267
C0038356,C0860207
C0038356,C0020538
C0038356,C0023467
C0038356,C0004352
C0038356,C0023893
C0038356,C0014175
C0038356,C0001418
C0038356,C0028754
C0151744,C0242656
C0151744,C0027627
C0151744,C0038356
C0151744,C0027626
C0151744,C1458155
C0151744,C0023893
C0151744,C0033578
C0151744,C0004352
C0151744,C0031117
C0151744,C0024668
C0151744,C0011860
C0151744,C0011853
C0151744,C0024121
C0151744,C0007131
C0151744,C0024667
C0151744,C0007134
C0151744,C0009404
C0236736,C0031117
C0236736,C0024121
C0236736,C0028754
C0236736,C0004352
C0236736,C0036341
C0236969,C0009404
C0236969,C0004352
C0236969,C1458155
C0236969,C0024121
C0236969,C0004096
C0236969,C0014175
C0242656,C0151744
C0242656,C0027627
C0242656,C0038356
C0242656,C0027626
C0242656,C1458155
C0242656,C0007621
C0242656,C0033578
C0242656,C0007134
C0242656,C2239176
C0242656,C0031117
C0242656,C0007131
C0242656,C0005695
C0242656,C0919267
C0376634,C0033578
C0376634,C1458155
C0376634,C0038356
C0376634,C0021390
C0376634,C0023467
C0376634,C0010606
C0376634,C3714756
C0376634,C0030567
C0376634,C0024667
C0376634,C0024668
C0376634,C0031117
C0376634,C0004352
C0376634,C0036341
C0860207,C0025202
C0860207,C0011853
C0860207,C0030567
C0860207,C0024667
C0860207,C0024668
C0860207,C0038356
C0860207,C0003873
C0860207,C0009404
C0860207,C0005695
C0919267,C0024667
C0919267,C0024668
C0919267,C0033578
C0919267,C0000786
C0919267,C1458155
C0919267,C0038356
C0919267,C2239176
C0919267,C0242656
C0919267,C0005695
C1458155,C0009404
C1458155,C0017661
C1458155,C0030567
C1458155,C0033578
C1458155,C0027626
C1458155,C0025202
C1458155,C0000786
C1458155,C0024121
C1458155,C0027627
C1458155,C0023467
C1458155,C0007131
C1458155,C0376634
C1458155,C0038356
C1458155,C0021390
C1458155,C0151744
C1458155,C0007621
C1458155,C0001418
C1458155,C0007134
C1458155,C0031117
C1458155,C0032460
C1458155,C2239176
C1458155,C0024667
C1458155,C0024668
C1458155,C0242656
C1458155,C0023903
C1458155,C0005695
C1458155,C0236969
C1458155,C0004352
C1458155,C0009375
C1458155,C0919267
C1458155,C0020538
C1458155,C0011860
C1458155,C0011853
C1458155,C0014175
C2239176,C0032460
C2239176,C0014175
C2239176,C0007621
C2239176,C0009375
C2239176,C0038356
C2239176,C0030567
C2239176,C0024121
C2239176,C1458155
C2239176,C0023893
C2239176,C0011853
C2239176,C0028754
C2239176,C0024667
C2239176,C0024668
C2239176,C0027626
C2239176,C0009404
C2239176,C0025202
C2239176,C0242656
C2239176,C0031117
C2239176,C0007131
C2239176,C0017661
C2239176,C0023903
C2239176,C0011860
C2239176,C0005695
C2239176,C0919267
C3495559,C0003873
C3495559,C0027627
C3495559,C0007621
C3714756,C0010606
C3714756,C0376634
C3714756,C0030567
C3714756,C0009404
C3714756,C0036341
C3714756,C0011860
C3714756,C0026769
C3714756,C0004352
C3714756,C0023467
